g^4,gamma,f,f_error,quadrature_error
0.0,1.0,0.0,0.0,0.0
0.625,1.0,0.004781961484686973,5.309043743170176e-17,5.309043743170176e-17
1.25,1.0,0.009400059829467263,1.0436162855528578e-16,1.0436162855528578e-16
1.875,1.0,0.013809796973431999,2.4702166818485987e-10,2.4702166818485987e-10
2.5,1.0,0.017963591424015577,1.994358750179754e-16,1.994358750179754e-16
3.125,1.0,0.021917238001841848,2.466978793632502e-10,2.466978793632502e-10
3.75,1.0,0.025696342248036134,3.2863519537462076e-10,3.2863519537462076e-10
4.375,1.0,0.029298904860111396,5.98305932573609e-10,5.98305932573609e-10
5.0,1.0,0.03279044531322758,3.6404800211283997e-16,3.6404800211283997e-16
10.0,1.0,0.05780015766712407,6.416986259592216e-16,6.416986259592216e-16
15.0,1.0,0.07777594141136376,6.35974665489627e-10,6.35974665489627e-10
20.0,1.0,0.09506249906323473,1.0531940079989387e-15,1.0531940079989387e-15
25.0,1.0,0.11038995211478962,1.2375116098866903e-09,1.2375116098866903e-09
30.0,1.0,0.12428544037181394,1.300501281995712e-09,1.300501281995712e-09
35.0,1.0,0.1369606948884328,2.017837370852301e-09,2.017837370852301e-09
40.0,1.0,0.14848355884585332,1.6458550555519316e-15,1.6458550555519316e-15
45.0,1.0,0.1591426636234227,2.3546964020112415e-09,2.3546964020112415e-09
50.0,1.0,0.16939199363286517,2.317793285791983e-09,2.317793285791983e-09
