dimension,lattice_size,alpha,gamma,g^4,<phi^4>,phi4_naive_standard_error,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_samples,seed
2,8,1.0,1.0,0.0,0.19529023662722234,0.002805054522000442,0.9998,1000,10000,10,100,,1000,1783092969
2,8,1.0,1.0,0.625,0.17977859346931116,0.002494803792479866,0.9998,1000,10000,10,100,,1000,3237496957
2,8,1.0,1.0,1.25,0.16788761564420826,0.002335238991916823,1.0,1000,10000,10,100,,1000,1710254342
2,8,1.0,1.0,1.875,0.16559879588486012,0.0021862924252591975,0.9998,1000,10000,10,100,,1000,1661941093
2,8,1.0,1.0,2.5,0.15573911171954535,0.0020677915704380616,0.9996,1000,10000,10,100,,1000,3933257235
2,8,1.0,1.0,3.125,0.1504389803324324,0.0019976499955492873,1.0,1000,10000,10,100,,1000,3813382863
2,8,1.0,1.0,3.75,0.14068425047854194,0.0017885309553803345,0.9998,1000,10000,10,100,,1000,955399800
2,8,1.0,1.0,4.375,0.13490284939297706,0.0016996250466890725,0.9994,1000,10000,10,100,,1000,3125070151
2,8,1.0,1.0,5.0,0.135441267969662,0.0016823518844715688,1.0,1000,10000,10,100,,1000,273041373
2,8,1.0,1.0,10.0,0.10635204136875688,0.0012390185705889803,0.9999,1000,10000,10,100,,1000,13577450
2,8,1.0,1.0,15.0,0.08979706324812362,0.0009790957959931509,0.9998,1000,10000,10,100,,1000,2115121828
2,8,1.0,1.0,20.0,0.07728809314565545,0.0008647838326299202,0.9997,1000,10000,10,100,,1000,1956015470
2,8,1.0,1.0,25.0,0.06948000830128573,0.0007505665873422005,0.9999,1000,10000,10,100,,1000,3787055913
2,8,1.0,1.0,30.0,0.06254191077234779,0.0006452647246223426,0.9997,1000,10000,10,100,,1000,2444324118
2,8,1.0,1.0,35.0,0.05828274025474279,0.0006149516263401244,0.9999,1000,10000,10,100,,1000,2495337162
2,8,1.0,1.0,40.0,0.05289075437549826,0.000541479419926287,1.0,1000,10000,10,100,,1000,1919518275
2,8,1.0,1.0,45.0,0.050068141684743994,0.0004863219047652631,0.9997,1000,10000,10,100,,1000,1649886604
2,8,1.0,1.0,50.0,0.047159626806628455,0.0004626453619652874,0.9996,1000,10000,10,100,,1000,2183348231
