dimension,lattice_size,alpha,gamma,g^4,D(p),error,p,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_configurations,seed
3,32,1.0,1.0,0.5,0.9606654562510781,0.017873623392516344,0.0,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.9100073878820076,0.011303087804974929,0.19634954084936207,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.8221176024884544,0.008705760585318736,0.39269908169872414,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.7262035389898984,0.010184741211108557,0.5890486225480862,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.6106964246531459,0.009310871468602834,0.7853981633974483,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.5136935302142878,0.0063852680273851145,0.9817477042468103,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.43177297516861196,0.00500853068209276,1.1780972450961724,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.3731142063677559,0.004395684902669953,1.3744467859455345,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.3286326151930332,0.004073473395250033,1.5707963267948966,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.2910922087221143,0.003642852403125626,1.7671458676442586,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.2708251872123497,0.003010572640509055,1.9634954084936207,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.24015803196573446,0.004082627066026527,2.1598449493429825,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.2261682170337333,0.0031910204648686867,2.356194490192345,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.21639305858763316,0.003417053765509186,2.552544031041707,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.20227193241632752,0.0024198578209933814,2.748893571891069,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.19578745794648283,0.0024667670468060845,2.945243112740431,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.19928214059087374,0.0043483224902237,3.141592653589793,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.19578745794648283,0.0024667670468060845,3.3379421944391554,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.20227193241632752,0.002419857820993381,3.5342917352885173,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.21639305858763316,0.003417053765509186,3.730641276137879,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.22616821703373335,0.0031910204648686567,3.9269908169872414,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.24015803196573446,0.004082627066026527,4.123340357836604,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.2708251872123497,0.003010572640509053,4.319689898685965,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.2910922087221143,0.003642852403125626,4.516039439535327,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.3286326151930332,0.004073473395250033,4.71238898038469,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.3731142063677559,0.004395684902669953,4.908738521234052,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.43177297516861196,0.00500853068209276,5.105088062083414,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.5136935302142878,0.0063852680273851145,5.301437602932776,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.6106964246531458,0.009310871468602851,5.497787143782138,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.7262035389898984,0.010184741211108557,5.6941366846315,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.8221176024884546,0.008705760585318795,5.890486225480862,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,0.5,0.9100073878820076,0.011303087804974929,6.086835766330224,0.9583285714285714,10000,70000,10,30,,7000,678477048
3,32,1.0,1.0,1.0,0.9409528737284623,0.020512796212985497,0.0,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.8881601038698829,0.008205286557395818,0.19634954084936207,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.8155961679093051,0.012031942085782643,0.39269908169872414,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.7048706505691437,0.007873833842149265,0.5890486225480862,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.59443414726036,0.005695702112325096,0.7853981633974483,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.5058595779364776,0.007694571923917661,0.9817477042468103,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.43999708019929357,0.007196839667513094,1.1780972450961724,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.36626574595945505,0.004756768247957908,1.3744467859455345,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.3258375587030661,0.0030184616614969666,1.5707963267948966,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.27911615389018385,0.0024700483348206056,1.7671458676442586,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.25366522032609085,0.0034700417125764797,1.9634954084936207,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.2386641976292932,0.0023420186510880766,2.1598449493429825,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.22416296118361298,0.003206880869785193,2.356194490192345,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.21508366285514846,0.002970128645112971,2.552544031041707,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.20360461480950262,0.0031485511156104395,2.748893571891069,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.2011067439586259,0.0022208205168549313,2.945243112740431,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.2024795422601091,0.003768580426375378,3.141592653589793,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.2011067439586259,0.0022208205168549313,3.3379421944391554,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.20360461480950262,0.0031485511156104113,3.5342917352885173,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.21508366285514846,0.002970128645112971,3.730641276137879,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.22416296118361298,0.0032068808697851927,3.9269908169872414,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.2386641976292932,0.0023420186510880766,4.123340357836604,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.25366522032609085,0.0034700417125764923,4.319689898685965,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.27911615389018385,0.0024700483348206056,4.516039439535327,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.3258375587030661,0.0030184616614969666,4.71238898038469,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.36626574595945505,0.004756768247957908,4.908738521234052,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.4399970801992935,0.007196839667513069,5.105088062083414,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.5058595779364776,0.007694571923917661,5.301437602932776,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.59443414726036,0.005695702112325142,5.497787143782138,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.7048706505691437,0.007873833842149265,5.6941366846315,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.8155961679093051,0.012031942085782649,5.890486225480862,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,1.0,0.8881601038698829,0.008205286557395818,6.086835766330224,0.9592714285714286,10000,70000,10,30,,7000,39004782
3,32,1.0,1.0,2.0,0.8568210421014714,0.015423916599564597,0.0,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.8238963913468403,0.010323744567206718,0.19634954084936207,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.7546007454724567,0.008309529395217435,0.39269908169872414,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.6798418440331185,0.008617977496787452,0.5890486225480862,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.5736446774616851,0.005545173573420401,0.7853981633974483,0.9582428571428572,10000,70000,10,30,,7000,3727701229
