g^4,gamma,f,f_error,quadrature_error
0.0,1.0,0.0,0.0,0.0
0.625,1.0,0.0023482695866267893,2.843073775141572e-06,0.0
1.25,1.0,0.004554532709012745,4.2960500518943546e-06,0.0
1.875,1.0,0.006675124851683433,4.281150986185141e-06,0.0
2.5,1.0,0.008741820503689357,4.447930904504509e-06,0.0
3.125,1.0,0.01075971292371386,4.618585156389324e-06,0.0
3.75,1.0,0.012729929197018973,4.7542100475673925e-06,0.0
4.375,1.0,0.014657025850726273,4.907403452076581e-06,0.0
5.0,1.0,0.016545463461099356,5.032475973704668e-06,0.0
10.0,1.0,0.030464854130723435,1.7647030443029e-05,0.0
15.0,1.0,0.04269535745269132,1.5699069702185745e-05,0.0
20.0,1.0,0.053716393178615006,1.7598373149994912e-05,0.0
25.0,1.0,0.06379146559189973,1.8143666971032646e-05,0.0
30.0,1.0,0.07309959535055598,1.8601529999184416e-05,0.0
35.0,1.0,0.08177869542309991,1.9070424762234526e-05,0.0
40.0,1.0,0.0899243647968595,1.946739074834496e-05,0.0
45.0,1.0,0.0976084864414462,1.980140836962828e-05,0.0
50.0,1.0,0.1048847605934992,2.0087704143559367e-05,0.0
