dimension,lattice_size,alpha,gamma,g^4,<phi^4>,phi4_naive_standard_error,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_samples,seed
2,32,1.0,1.0,0.0,0.19505818769131714,0.000750968634440407,0.9992,1000,10000,10,100,,1000,2703106289
2,32,1.0,1.0,0.625,0.1809728392202904,0.0006308187970035798,0.9987,1000,10000,10,100,,1000,1065232322
2,32,1.0,1.0,1.25,0.1706550015786496,0.0005855334542003559,0.9989,1000,10000,10,100,,1000,3692425198
2,32,1.0,1.0,1.875,0.162541350533291,0.0005569988537258416,0.999,1000,10000,10,100,,1000,3497520133
2,32,1.0,1.0,2.5,0.1548118415966727,0.000516547069515934,0.9992,1000,10000,10,100,,1000,2919100308
2,32,1.0,1.0,3.125,0.14909760258142687,0.0004867527171859645,0.9989,1000,10000,10,100,,1000,534339236
2,32,1.0,1.0,3.75,0.14238082398080404,0.0004600952814515133,0.9987,1000,10000,10,100,,1000,1943865824
2,32,1.0,1.0,4.375,0.1371913560954506,0.00044076589099864533,0.9996,1000,10000,10,100,,1000,1250926478
2,32,1.0,1.0,5.0,0.13332227658329182,0.0004131228230454941,0.9986,1000,10000,10,100,,1000,3961743181
2,32,1.0,1.0,10.0,0.10600611538142499,0.00031162157151847875,0.999,1000,10000,10,100,,1000,1053463503
2,32,1.0,1.0,15.0,0.08948351463538597,0.00024983073319463287,0.9985,1000,10000,10,100,,1000,585365181
2,32,1.0,1.0,20.0,0.0785106855633697,0.00021331736136407788,0.9992,1000,10000,10,100,,1000,513141281
2,32,1.0,1.0,25.0,0.06988858609206208,0.0001859630830904016,0.9992,1000,10000,10,100,,1000,326624361
2,32,1.0,1.0,30.0,0.06368124657189893,0.00016958434639484905,0.9985,1000,10000,10,100,,1000,2957675922
2,32,1.0,1.0,35.0,0.05796945456718768,0.00014884589184229374,0.9986,1000,10000,10,100,,1000,216950352
2,32,1.0,1.0,40.0,0.05425027089949725,0.00013455082659648187,0.9991,1000,10000,10,100,,1000,817737855
2,32,1.0,1.0,45.0,0.050179067114722704,0.00012623661972038775,0.9984,1000,10000,10,100,,1000,2530834720
2,32,1.0,1.0,50.0,0.04716854039267884,0.00011618772249617505,0.9987,1000,10000,10,100,,1000,1909142775
