dimension,lattice_size,alpha,gamma,g^4,<phi^4>,phi4_error,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_samples,seed
3,32,1.0,1.0,0.0,0.09371367060912175,0.0001072744115850161,0.9967,10000,20000,10,100,,2000,3170254922
3,32,1.0,1.0,0.625,0.08705241650734817,0.00012011573903908833,0.99645,10000,20000,10,100,,2000,1526001524
3,32,1.0,1.0,1.25,0.08275883143975422,5.0778673976800856e-05,0.9963,10000,20000,10,100,,2000,3446692835
3,32,1.0,1.0,1.875,0.08030782598677717,3.685453568303296e-05,0.996,10000,20000,10,100,,2000,1009559685
3,32,1.0,1.0,2.5,0.07843263200427056,4.961334916742719e-05,0.99625,10000,20000,10,100,,2000,4093100840
3,32,1.0,1.0,3.125,0.07654516808114277,4.3149726163851316e-05,0.99615,10000,20000,10,100,,2000,163558345
3,32,1.0,1.0,3.75,0.07479914766450889,4.693742064112709e-05,0.9973,10000,20000,10,100,,2000,1196804430
3,32,1.0,1.0,4.375,0.07323109483743033,4.395367126458137e-05,0.99705,10000,20000,10,100,,2000,88580378
3,32,1.0,1.0,5.0,0.07181958496826366,3.942865008193643e-05,0.99635,10000,20000,10,100,,2000,975494043
3,32,1.0,1.0,10.0,0.062285619252875415,3.30467254241031e-05,0.9963,10000,20000,10,100,,2000,441168628
3,32,1.0,1.0,15.0,0.055519585671464956,3.0517090373609366e-05,0.99635,10000,20000,10,100,,2000,3029576574
3,32,1.0,1.0,20.0,0.0504820027856436,2.6929184367007774e-05,0.99655,10000,20000,10,100,,2000,1888387784
3,32,1.0,1.0,25.0,0.0463795055867205,1.941711584260472e-05,0.9965,10000,20000,10,100,,2000,1471905138
3,32,1.0,1.0,30.0,0.0430893608767317,2.0335341879547554e-05,0.9954,10000,20000,10,100,,2000,3635868984
3,32,1.0,1.0,35.0,0.04030494330909255,1.9331093835495033e-05,0.995,10000,20000,10,100,,2000,2478350555
3,32,1.0,1.0,40.0,0.03795097728297189,1.7874119199613737e-05,0.9951,10000,20000,10,100,,2000,1327095753
3,32,1.0,1.0,45.0,0.03585677748420545,1.5705918042351296e-05,0.9949,10000,20000,10,100,,2000,3490489519
3,32,1.0,1.0,50.0,0.03405161225181838,1.3542212735349171e-05,0.993,10000,20000,10,100,,2000,2841508802
