dimension,lattice_size,alpha,gamma,g^4,D(p),error,p,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_configurations,seed
2,32,1.0,1.0,0.0,0.9962505450482252,0.018066591597828408,0.0,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.9766907548243632,0.012458974799278417,0.19634954084936207,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.8471668650278,0.010507427046955517,0.39269908169872414,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.7481309806499549,0.009419565163383933,0.5890486225480862,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.6178766918360689,0.008409979129193812,0.7853981633974483,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.5222267822037181,0.0071920985266209075,0.9817477042468103,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.4467182182126913,0.00577587745982679,1.1780972450961724,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.3813302333833718,0.005916537044563324,1.3744467859455345,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.32958677953728627,0.004340085020163815,1.5707963267948966,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.2924435651980935,0.003916132990590411,1.7671458676442586,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.2634014562641133,0.003656063530378405,1.9634954084936207,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.24597411502870564,0.0030991380215961354,2.1598449493429825,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.22869024964672022,0.0030075032440798036,2.356194490192345,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.21204830401916974,0.002739422861188622,2.552544031041707,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.20677184153555295,0.0024139515215062034,2.748893571891069,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.20261915767067137,0.0026666110412105586,2.945243112740431,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.19892196603855222,0.003667290354071167,3.141592653589793,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.20261915767067137,0.0026666110412105586,3.3379421944391554,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.2067718415355529,0.0024139515215061986,3.5342917352885173,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.21204830401916974,0.002739422861188622,3.730641276137879,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.2286902496467202,0.0030075032440798045,3.9269908169872414,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.24597411502870564,0.0030991380215961354,4.123340357836604,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.2634014562641133,0.003656063530378405,4.319689898685965,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.2924435651980935,0.003916132990590411,4.516039439535327,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.32958677953728627,0.004340085020163815,4.71238898038469,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.3813302333833718,0.005916537044563324,4.908738521234052,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.44671821821269136,0.00577587745982679,5.105088062083414,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.5222267822037181,0.0071920985266209075,5.301437602932776,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.6178766918360689,0.008409979129193805,5.497787143782138,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.7481309806499549,0.009419565163383933,5.6941366846315,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.8471668650278,0.010507427046955517,5.890486225480862,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.0,0.9766907548243632,0.012458974799278417,6.086835766330224,0.9728,5000,60000,10,20,,6000,765431820
2,32,1.0,1.0,0.5,0.94988052257171,0.020872885785730502,0.0,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.912868978593544,0.011349028606696164,0.19634954084936207,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.824807335605995,0.011071316948416983,0.39269908169872414,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.7220664730255937,0.007985408092503577,0.5890486225480862,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.6059351866721514,0.0068789285115757656,0.7853981633974483,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.5112398459557305,0.006769030008876514,0.9817477042468103,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.43613088791875376,0.005012211243604301,1.1780972450961724,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.3668469611318607,0.004532217503655218,1.3744467859455345,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.32750501207081006,0.004364630996447068,1.5707963267948966,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.294131961205774,0.0036842170172841347,1.7671458676442586,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.26736011959635503,0.003434126084178703,1.9634954084936207,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.24182337017889594,0.00350376102849187,2.1598449493429825,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.2234105680288653,0.002611364709520252,2.356194490192345,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.21137461542868793,0.0024532117805346307,2.552544031041707,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.20198411774013936,0.002946250500721588,2.748893571891069,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.20203776229252113,0.0021824276606844293,2.945243112740431,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.19589653948465346,0.0037061547943090184,3.141592653589793,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.20203776229252113,0.0021824276606844293,3.3379421944391554,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.20198411774013944,0.002946250500721588,3.5342917352885173,0.9734166666666667,5000,60000,10,20,,6000,1602714103
2,32,1.0,1.0,0.5,0.21137461542868793,0.0024532117805346307,3.730641276137879,0.9734166666666667,5000,60000,10,20,,6000,1602714103
