g^4,gamma,p,D(p),error
0.5,1.0,0.0,0.9478840445487794,0.0466030160627122
0.5,1.0,0.196349540849362,0.9178808776436376,0.0318592683642515
0.5,1.0,0.3926990816987241,0.8237515874137529,0.0292159408073025
0.5,1.0,0.5890486225480862,0.7478888133567922,0.0269819237276957
0.5,1.0,0.7853981633974483,0.6193660648471603,0.0255859352252601
0.5,1.0,0.9817477042468103,0.5330847925393696,0.0240675062661159
0.5,1.0,1.1780972450961724,0.4303310822488426,0.0218769478212692
0.5,1.0,1.3744467859455345,0.3588885038610402,0.0208175100229769
0.5,1.0,1.5707963267948966,0.33717317087163,0.0199873942187889
0.5,1.0,1.7671458676442586,0.2895414162267551,0.0184293032770231
0.5,1.0,1.9634954084936207,0.2672371877742217,0.0165808269317291
0.5,1.0,2.1598449493429825,0.2454250338751732,0.0162779316221681
0.5,1.0,2.356194490192345,0.2256056071073383,0.0159553694965836
0.5,1.0,2.552544031041707,0.230298254852049,0.0138402240632811
0.5,1.0,2.748893571891069,0.2085980000683754,0.015009626826367
0.5,1.0,2.945243112740431,0.2068952219323518,0.0148466681758946
0.5,1.0,3.141592653589793,0.191221579414814,0.0213593331765371
0.5,1.0,3.3379421944391554,0.2053018962592814,0.0150345269437182
0.5,1.0,3.5342917352885173,0.1991496911325641,0.0146442994076514
0.5,1.0,3.730641276137879,0.2115111325014366,0.0151375388894484
0.5,1.0,3.9269908169872414,0.2200345398704155,0.0164947620109334
0.5,1.0,4.123340357836604,0.2374761854009603,0.0164535715971389
0.5,1.0,4.319689898685965,0.258997584205113,0.0171410973183425
0.5,1.0,4.516039439535327,0.2908970114197788,0.0186490318568504
0.5,1.0,4.71238898038469,0.3287723120383849,0.0182283996106957
0.5,1.0,4.908738521234052,0.3903367514021225,0.0196669810670876
0.5,1.0,5.105088062083414,0.4349197439943447,0.0247474232713345
0.5,1.0,5.301437602932776,0.5422188759709409,0.0251090149839432
0.5,1.0,5.497787143782138,0.6314520806617362,0.0257126658074912
0.5,1.0,5.6941366846315,0.7489337044039482,0.0272391511068349
0.5,1.0,5.890486225480862,0.799097346269778,0.0294973009619218
0.5,1.0,6.086835766330224,0.915654909881096,0.0310472678924075
2.0,1.0,0.0,0.8879670356972409,0.0397650095565079
2.0,1.0,0.196349540849362,0.836652545273839,0.0269661961798887
2.0,1.0,0.3926990816987241,0.7635449140866746,0.0269252783170678
2.0,1.0,0.5890486225480862,0.6579212010354529,0.0235292484057605
2.0,1.0,0.7853981633974483,0.5802102765799202,0.0234340451881699
2.0,1.0,0.9817477042468103,0.4858676175254979,0.0204182633656228
2.0,1.0,1.1780972450961724,0.4049419539616867,0.0200712399630332
2.0,1.0,1.3744467859455345,0.3606794280330944,0.0180428033465354
2.0,1.0,1.5707963267948966,0.3171341422097355,0.0166772639708648
2.0,1.0,1.7671458676442586,0.2755968466661267,0.0161587894530472
2.0,1.0,1.9634954084936207,0.2437849390513108,0.015294582820543
2.0,1.0,2.1598449493429825,0.2441772803456136,0.0146889609762894
2.0,1.0,2.356194490192345,0.2267482477030702,0.0148561196264969
2.0,1.0,2.552544031041707,0.1907536780512732,0.0142221057054728
2.0,1.0,2.748893571891069,0.2064011399525615,0.0140723499080545
2.0,1.0,2.945243112740431,0.1973028321599838,0.0131380329834387
2.0,1.0,3.141592653589793,0.2070738422553524,0.0196483397240418
2.0,1.0,3.3379421944391554,0.1952242546231568,0.0139035925474246
2.0,1.0,3.5342917352885173,0.1992218398807569,0.0132322517542183
2.0,1.0,3.730641276137879,0.2042439660420706,0.0145766307605239
2.0,1.0,3.9269908169872414,0.2189608834608473,0.0142447844209616
2.0,1.0,4.123340357836604,0.2377339626419672,0.0157129889708955
2.0,1.0,4.319689898685965,0.2572937828935486,0.0163652395770423
2.0,1.0,4.516039439535327,0.2713587838054377,0.0148258269131434
2.0,1.0,4.71238898038469,0.3158444267839905,0.0177774817273037
2.0,1.0,4.908738521234052,0.3666483902092649,0.0191113038126949
2.0,1.0,5.105088062083414,0.4272212498615083,0.0194380961491833
2.0,1.0,5.301437602932776,0.5224355802960827,0.0207741327125092
2.0,1.0,5.497787143782138,0.5676267727061963,0.0223448816779678
2.0,1.0,5.6941366846315,0.6624911175770289,0.0257620194893298
2.0,1.0,5.890486225480862,0.7570793718129507,0.0262065818345536
2.0,1.0,6.086835766330224,0.8072807673347417,0.0286639485742497
5.0,1.0,0.0,0.7668765418865305,0.0343838096264812
5.0,1.0,0.196349540849362,0.708290722660355,0.0245223142134305
5.0,1.0,0.3926990816987241,0.658214646905079,0.0238115623585836
5.0,1.0,0.5890486225480862,0.5861534871720593,0.0235236932623207
5.0,1.0,0.7853981633974483,0.5023871455845297,0.0210099246884795
5.0,1.0,0.9817477042468103,0.4461219569958162,0.0187857030748583
5.0,1.0,1.1780972450961724,0.3738736387662003,0.0184083511837925
5.0,1.0,1.3744467859455345,0.3313242860304402,0.0165585977265353
5.0,1.0,1.5707963267948966,0.3002267000143434,0.0153613849799523
5.0,1.0,1.7671458676442586,0.2452296217792463,0.0154078081096797
5.0,1.0,1.9634954084936207,0.234643132859927,0.0144606356980225
5.0,1.0,2.1598449493429825,0.2090113739292302,0.0142271097680231
5.0,1.0,2.356194490192345,0.2056279697538605,0.0139500631773594
5.0,1.0,2.552544031041707,0.1987920870551588,0.0137840285216097
5.0,1.0,2.748893571891069,0.1960238863854055,0.0130062697903161
5.0,1.0,2.945243112740431,0.179199278127751,0.0133361414415285
5.0,1.0,3.141592653589793,0.1911583756164438,0.0174669894545262
5.0,1.0,3.3379421944391554,0.1961518664952256,0.0126457622262647
5.0,1.0,3.5342917352885173,0.1964356555098481,0.0136142725902206
5.0,1.0,3.730641276137879,0.1969635669970382,0.01423366099178
5.0,1.0,3.9269908169872414,0.2055792534509525,0.0141839172844897
5.0,1.0,4.123340357836604,0.2181443474929911,0.0140821960994761
5.0,1.0,4.319689898685965,0.2447860007606453,0.0154923904783012
5.0,1.0,4.516039439535327,0.2756392499233662,0.0148137385206991
5.0,1.0,4.71238898038469,0.2873757817950358,0.0165272152391524
5.0,1.0,4.908738521234052,0.3328519685448727,0.0173977192997899
5.0,1.0,5.105088062083414,0.3858928233177148,0.0184946174261247
5.0,1.0,5.301437602932776,0.4477647936333091,0.0195907795145635
5.0,1.0,5.497787143782138,0.5215985440851303,0.0202702034264927
5.0,1.0,5.6941366846315,0.5894007592744255,0.0208907824809039
5.0,1.0,5.890486225480862,0.6762586870565231,0.0244783272406482
5.0,1.0,6.086835766330224,0.6926826656351736,0.0241173617013346
10.0,1.0,0.0,0.5778310173167075,0.0319326688089875
10.0,1.0,0.196349540849362,0.588672111468348,0.0231765159510547
10.0,1.0,0.3926990816987241,0.503200648470557,0.0214065306369759
10.0,1.0,0.5890486225480862,0.4835697129515313,0.0196912505231583
10.0,1.0,0.7853981633974483,0.4067312705568814,0.0209579837877343
10.0,1.0,0.9817477042468103,0.3805490766613988,0.0172390475949585
10.0,1.0,1.1780972450961724,0.3300853691744707,0.0162399122488861
10.0,1.0,1.3744467859455345,0.2942951560164178,0.0156983985045375
10.0,1.0,1.5707963267948966,0.2642851611251943,0.0151144175981761
10.0,1.0,1.7671458676442586,0.2479113294936997,0.0137039325126716
10.0,1.0,1.9634954084936207,0.2199727962648883,0.0140622038310168
10.0,1.0,2.1598449493429825,0.2064956577172031,0.0131454227918177
10.0,1.0,2.356194490192345,0.2009637352484946,0.0125666888556432
